question,answer
How do I get my neighbor to accept the survey staking of our shared property line that is in dispute? He won’t trust it because I paid for it and he thinks the surveyors are wrong.,"Tell him to get his own surveyors to measure it and check it. If it's different then gett both surveyors on the ground to sort it out!
"
Social Sciences:,"Sociology is a valid field of research that produces real insight and can advance understanding. However, one of the essential constituents of science, experimentation, is not possible in sociology. This does not make sociology a pseudoscience since, properly conducted, it does not claim to be science.
"
What did you think of Donald Trump before he became President?,"I don’t admire the ultra-rich, so I never understood what the big deal was. In fact, the first time I heard about him was when he was going through his messy divorce from Ivanna (Ivanka’s mom). I saw the media hoopla and thought, “Why does anybody care?”
"
Where can I find packers and movers in Noida?,"If you're finding best packers and movers who can actually deliver your luggage to the destination and take care of your luggage too. Then this would surely help you. You should go for white glove packers and movers service. Good work good staff good packing good loading timely delivered very good company pls contact White Glove Packers and Movers in Noida Showed professionalism in highest order, they were amazing at every step of relocation.
"
What is chutiya in Hindi?,"idiot
"
"When I was a child, Smokey Bear said ""Only YOU can prevent forest fires."" I thought he meant ME. Do you remember this fire prevention campaign?","Yes, I am old enough to remember this ad campaign!
"
"Does the Bible mention anything about a place ""between"" heaven and hell?","the ancient ritual had a purgatory room, where the drug was vomited out to detox. heaven was that safe room where you gathered after to be taught the meaning of your visions. hell was where you had the visions.
"
"What are some of the shrewdest, smartest military maneuvers ever seen?Was it a significant point in history?","At the battle of Waterloo, when Wellington ordered his troops lie down, partly to hide them, and partly for cover. An order like that in a time where people lined up and fought must have been incredible.
"
Why would anyone need a gun with more than 10 rounds for concealed carry?,"Why would anyone need a Lexus a Kia will do.
 5 rounds 10 rounds or more, unless you are the one planning to attack a cc person what difference does it make to you?
"
What are the A-B-C settings on a water heater control valve?,"A is low or vacation temperature where you're not using the hot water B is normal C is high use
"
Are there any mean Canadians?,"Just me.
"
"In their prime, who was a better rock group, The Stones or The Who?","The Who, beyond doubt
"
How many times can I refill a plastic bottle of water before it becomes unusable?,"Many times
"
Do aloe vera plants use the same soil type as the jade plant?,"I would say yes just be sure it’s goooood quality potting soil. The Doctor 😎
"
What is the string theory about?,"It is a mirage.
 [LINKED_TEXT: Derivation of the Apparent Mass of the Muon] [URL: https://pzgdhzwenhaarweu.quora.com/Derivation-of-the-Apparent-Mass-of-the-Muon]
"
How do I make group calls in WhatsApp?,"just create a chat group… place a call to that group..
"
"Without looking at a map, how well can you draw the shape of your country?","Sudan
Real:
"
What is the weirdest object you've ever found?,"Walking along a canal towpath, I found a 1976 calendar. Nothing special, just a bog standard calendar. The odd part is that I found it in May 1989.
 Why it was there, I'll never know.
"
"How can I learn a dance? I have been trying, but I can't learn any dance. I mainly want to learn hip hop and K-pop dances.","You can start watching the dance videos which is freely available on YouTube — https://youtube.com/shorts/6UAhgpwIHY0?feature=share
"
Do wind turbines use diesel?,"No. They use wind.
"
What’s your favorite name for any machine learning algorithm?,"The nearest neighbor algorithm: it’s short, self-explanatory, and not made up of pretentious jargon words that make barriers to entry for people outside machine learning.
 Compare that to a three hidden-layer fully-connected feed-forward artificial neural network with rectified linear unit activation … just ugh!
"
How can I use WhatsApp without a SIM card on your phone?,"my sim is missing
"
Is “pitying” the opposite of the word “jealously”?,"Pitying means to feel sorry for another person. Where as to be jealous of another is to crave what they own. So I guess the answer is that sometimes someone is jealous. And you would therefore pity them -that they don’t appreciate what they have.🤷‍♀️
"
